year;month;day;weight
2024;1;1;147.90
2024;1;2;148.00
2024;1;3;147.00
2024;1;4;146.90
2024;1;5;146.70
2024;1;6;146.30
2024;1;7;146.00
2024;1;8;146.65
2024;1;9;146.90
2024;1;10;146.90
2024;1;11;146.70
2024;1;12;146.60
2024;1;13;146.50
2024;1;14;145.90
2024;1;15;145.70
2024;1;16;145.70
2024;1;17;145.60
2024;1;18;145.80
2024;1;19;145.90
2024;1;20;145.70
2024;1;21;146.50
2024;1;22;145.95
2024;1;23;146.20
2024;1;24;146.00
2024;1;27;146.20
2024;1;31;144.90
2024;2;1;144.50
2024;2;2;144.30
2024;2;5;145.10
2024;2;6;144.80
2024;2;8;144.50
2024;2;9;144.00
2024;2;12;145.00
2024;2;14;145.70
2024;2;15;144.80
2024;2;16;143.50
2024;2;23;143.10
2024;2;28;143.20
2024;3;7;142.20
2024;3;11;142.00
2024;3;17;142.10
2024;3;19;141.80
2025;5;18;155.0
2025;5;18;155.6
2025;5;19;155.5
2025;5;21;154.7
2025;5;29;155.0
